script,source_file,workload,num_ops,data_size,time_seconds,ram_gb,core_count
cassandra,results_cassandra_benchmarking_write_2gb.csv,write,1000,10,0.928,2,1
cassandra,results_cassandra_benchmarking_write_2gb.csv,write,1000,100,0.7523,2,1
cassandra,results_cassandra_benchmarking_write_2gb.csv,write,1000,500,0.7255,2,1
cassandra,results_cassandra_benchmarking_write_2gb.csv,write,1000,1000,0.7527,2,1
cassandra,results_cassandra_benchmarking_write_2gb.csv,write,1000,5000,1.1415,2,1
cassandra,results_cassandra_benchmarking_write_2gb.csv,write,1000,15000,1.7286,2,1
cassandra,results_cassandra_benchmarking_write_2gb.csv,write,1000,50000,6.7229,2,1
cassandra,results_cassandra_benchmarking_write_2gb.csv,write,1000,100000,6.1922,2,1
cassandra,results_cassandra_benchmarking_2gb.csv,read,1000,10,1.2217,2,1
cassandra,results_cassandra_benchmarking_2gb.csv,read,1000,100,0.8336,2,1
cassandra,results_cassandra_benchmarking_2gb.csv,read,1000,500,0.8894,2,1
cassandra,results_cassandra_benchmarking_2gb.csv,read,1000,1000,0.8814,2,1
cassandra,results_cassandra_benchmarking_2gb.csv,read,1000,5000,0.9119,2,1
cassandra,results_cassandra_benchmarking_2gb.csv,read,1000,15000,0.9066,2,1
cassandra,results_cassandra_benchmarking_2gb.csv,read,1000,50000,1.0245,2,1
cassandra,results_cassandra_benchmarking_2gb.csv,read,1000,100000,1.5382,2,1
cassandra,results_cassandra_benchmarking_mixed_2gb.csv,mixed,1000,10,0.8187,2,1
cassandra,results_cassandra_benchmarking_mixed_2gb.csv,mixed,1000,100,0.844,2,1
cassandra,results_cassandra_benchmarking_mixed_2gb.csv,mixed,1000,500,0.807,2,1
cassandra,results_cassandra_benchmarking_mixed_2gb.csv,mixed,1000,1000,0.8,2,1
cassandra,results_cassandra_benchmarking_mixed_2gb.csv,mixed,1000,5000,1.0698,2,1
cassandra,results_cassandra_benchmarking_mixed_2gb.csv,mixed,1000,15000,1.6093,2,1
cassandra,results_cassandra_benchmarking_mixed_2gb.csv,mixed,1000,50000,3.6278,2,1
cassandra,results_cassandra_benchmarking_mixed_2gb.csv,mixed,1000,100000,4.4993,2,1
cassandra,results_cassandra_benchmarking_4gb.csv,read,1000,10,1.3031,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,read,1000,100,0.9362,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,read,1000,500,0.9012,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,read,1000,1000,0.871,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,read,1000,5000,0.882,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,read,1000,15000,0.8536,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,read,1000,50000,0.975,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,read,1000,100000,1.5828,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,write,1000,10,0.6437,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,write,1000,100,0.6019,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,write,1000,500,0.6574,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,write,1000,1000,0.6594,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,write,1000,5000,1.1178,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,write,1000,15000,1.6849,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,write,1000,50000,7.2997,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,write,1000,100000,6.4463,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,mixed,1000,10,0.9764,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,mixed,1000,100,0.6692,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,mixed,1000,500,0.7122,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,mixed,1000,1000,0.7254,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,mixed,1000,5000,1.152,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,mixed,1000,15000,1.5339,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,mixed,1000,50000,3.933,4,1
cassandra,results_cassandra_benchmarking_4gb.csv,mixed,1000,100000,4.1465,4,1
cassandra,results_cassandra_benchmarking_8gb.csv,read,1000,10,1.3109,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,read,1000,100,0.9442,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,read,1000,500,0.8795,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,read,1000,1000,0.878,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,read,1000,5000,0.8849,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,read,1000,15000,0.9099,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,read,1000,50000,1.0225,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,read,1000,100000,1.5982,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,write,1000,10,0.6342,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,write,1000,100,0.6302,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,write,1000,500,0.6643,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,write,1000,1000,0.6382,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,write,1000,5000,1.1314,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,write,1000,15000,1.6816,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,write,1000,50000,6.654,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,write,1000,100000,6.0814,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,mixed,1000,10,0.6291,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,mixed,1000,100,0.6709,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,mixed,1000,500,0.7023,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,mixed,1000,1000,0.724,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,mixed,1000,5000,1.1114,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,mixed,1000,15000,1.5489,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,mixed,1000,50000,3.9153,8,1
cassandra,results_cassandra_benchmarking_8gb.csv,mixed,1000,100000,4.1101,8,1
cassandra,results_cassandra_benchmarking_1_core.csv,read,1000,10,1.6387,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,read,1000,100,1.2328,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,read,1000,500,1.1663,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,read,1000,1000,1.0474,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,read,1000,5000,1.7596,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,read,1000,15000,1.1295,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,read,1000,50000,1.0712,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,read,1000,100000,1.6299,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,write,1000,10,0.6537,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,write,1000,100,0.6368,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,write,1000,500,0.6832,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,write,1000,1000,0.6455,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,write,1000,5000,1.1296,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,write,1000,15000,1.6835,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,write,1000,50000,6.6164,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,write,1000,100000,5.3048,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,mixed,1000,10,0.6753,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,mixed,1000,100,0.7071,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,mixed,1000,500,0.7207,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,mixed,1000,1000,0.7025,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,mixed,1000,5000,1.1092,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,mixed,1000,15000,1.5607,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,mixed,1000,50000,3.7305,16,1
cassandra,results_cassandra_benchmarking_1_core.csv,mixed,1000,100000,4.2214,16,1
cassandra,results_cassandra_benchmarking_2_core.csv,read,1000,10,1.1638,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,read,1000,100,1.0097,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,read,1000,500,0.9228,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,read,1000,1000,0.9876,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,read,1000,5000,0.9305,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,read,1000,15000,0.944,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,read,1000,50000,1.0525,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,read,1000,100000,1.531,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,write,1000,10,0.7284,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,write,1000,100,0.71,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,write,1000,500,0.7526,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,write,1000,1000,0.6554,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,write,1000,5000,1.1765,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,write,1000,15000,1.7018,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,write,1000,50000,6.4132,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,write,1000,100000,6.7614,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,mixed,1000,10,0.7839,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,mixed,1000,100,0.8636,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,mixed,1000,500,0.8446,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,mixed,1000,1000,0.8842,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,mixed,1000,5000,1.0755,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,mixed,1000,15000,1.6014,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,mixed,1000,50000,5.0941,16,2
cassandra,results_cassandra_benchmarking_2_core.csv,mixed,1000,100000,4.4776,16,2
cassandra,results_cassandra_benchmarking_3_core.csv,read,1000,10,1.1509,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,read,1000,100,1.1662,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,read,1000,500,1.2275,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,read,1000,1000,1.2317,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,read,1000,5000,1.2279,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,read,1000,15000,1.2421,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,read,1000,50000,1.3473,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,read,1000,100000,1.647,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,write,1000,10,0.9589,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,write,1000,100,0.9743,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,write,1000,500,1.0707,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,write,1000,1000,0.9293,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,write,1000,5000,1.3174,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,write,1000,15000,1.8176,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,write,1000,50000,8.072,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,write,1000,100000,7.0759,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,mixed,1000,10,1.0872,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,mixed,1000,100,1.0966,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,mixed,1000,500,1.1263,16,3
cassandra,results_cassandra_benchmarking_3_core.csv,mixed,1000,1000,1.1695,16,3
