script,workload,num_ops,data_size,time_seconds
cassandra_benchmarking,read,1000,10,1.1509
cassandra_benchmarking,read,1000,100,1.1662
cassandra_benchmarking,read,1000,500,1.2275
cassandra_benchmarking,read,1000,1000,1.2317
cassandra_benchmarking,read,1000,5000,1.2279
cassandra_benchmarking,read,1000,15000,1.2421
cassandra_benchmarking,read,1000,50000,1.3473
cassandra_benchmarking,read,1000,100000,1.6470
cassandra_benchmarking,write,1000,10,0.9589
cassandra_benchmarking,write,1000,100,0.9743
cassandra_benchmarking,write,1000,500,1.0707
cassandra_benchmarking,write,1000,1000,0.9293
cassandra_benchmarking,write,1000,5000,1.3174
cassandra_benchmarking,write,1000,15000,1.8176
cassandra_benchmarking,write,1000,50000,8.0720
cassandra_benchmarking,write,1000,100000,7.0759
cassandra_benchmarking,mixed,1000,10,1.0872
cassandra_benchmarking,mixed,1000,100,1.0966
cassandra_benchmarking,mixed,1000,500,1.1263
cassandra_benchmarking,mixed,1000,1000,1.1695
cassandra_benchmarking,mixed,1000,5000,1.3566
cassandra_benchmarking,mixed,1000,15000,1.7667
cassandra_benchmarking,mixed,1000,50000,6.0666
cassandra_benchmarking,mixed,1000,100000,4.9641
