script,workload,num_ops,data_size,time_seconds
mongodb_benchmarking,read,1000,10,0.5818
mongodb_benchmarking,read,1000,100,0.5626
mongodb_benchmarking,read,1000,500,0.5737
mongodb_benchmarking,read,1000,1000,0.5652
mongodb_benchmarking,read,1000,5000,0.5611
mongodb_benchmarking,read,1000,15000,0.5911
mongodb_benchmarking,read,1000,50000,0.5709
mongodb_benchmarking,read,1000,100000,1.5085
mongodb_benchmarking,write,1000,10,0.5531
mongodb_benchmarking,write,1000,100,0.5589
mongodb_benchmarking,write,1000,500,0.5902
mongodb_benchmarking,write,1000,1000,0.5941
mongodb_benchmarking,write,1000,5000,0.5646
mongodb_benchmarking,write,1000,15000,0.9252
mongodb_benchmarking,write,1000,50000,2.3651
mongodb_benchmarking,write,1000,100000,4.5547
mongodb_benchmarking,mixed,1000,10,0.6101
mongodb_benchmarking,mixed,1000,100,0.5983
mongodb_benchmarking,mixed,1000,500,0.6286
mongodb_benchmarking,mixed,1000,1000,0.6055
mongodb_benchmarking,mixed,1000,5000,0.8356
mongodb_benchmarking,mixed,1000,15000,0.8724
mongodb_benchmarking,mixed,1000,50000,1.5593
mongodb_benchmarking,mixed,1000,100000,2.6342
