script,workload,num_ops,data_size,time_seconds
redis_benchmarking,read,1000,10,0.3979
redis_benchmarking,read,1000,100,0.3920
redis_benchmarking,read,1000,500,0.4268
redis_benchmarking,read,1000,1000,0.4003
redis_benchmarking,read,1000,5000,0.4326
redis_benchmarking,read,1000,15000,0.4158
redis_benchmarking,read,1000,50000,0.4827
redis_benchmarking,read,1000,100000,1.1080
redis_benchmarking,write,1000,10,0.4041
redis_benchmarking,write,1000,100,0.4203
redis_benchmarking,write,1000,500,0.5110
redis_benchmarking,write,1000,1000,0.4689
redis_benchmarking,write,1000,5000,0.5925
redis_benchmarking,write,1000,15000,1.3652
redis_benchmarking,write,1000,50000,2.1967
redis_benchmarking,write,1000,100000,4.0524
redis_benchmarking,mixed,1000,10,0.3722
redis_benchmarking,mixed,1000,100,0.4384
redis_benchmarking,mixed,1000,500,0.4640
redis_benchmarking,mixed,1000,1000,0.4735
redis_benchmarking,mixed,1000,5000,0.7006
redis_benchmarking,mixed,1000,15000,1.0924
redis_benchmarking,mixed,1000,50000,1.4164
redis_benchmarking,mixed,1000,100000,2.2595
